chrX	[('chrX', 366835, '+', 14211031338)]	[('chrX', 373545, '+', 14211031338)]	88625	chrX	347445	PPP2R3B
chrX	[('chrX', 1387417, '+', 14211031338)]	[('chrX', 1389237, '+', 14211031338)]	88658	chrX	1510996	SLC25A6
chrX	[('chrX', 1387417, '+', 14211031338)]	[('chrX', 1389237, '+', 14211031338)]	88657	chrX	1511617	SLC25A6
chrX	[('chrX', 2497139, '+', 14211031338)]	[('chrX', 2500309, '+', 14211031338)]	88679	chrX	2419019	DHRSX
chrX	[('chrX', 2700989, '+', 14211031338)]	[('chrX', 2702849, '+', 14211031338)]	88689	chrX	2609317	CD99
chrX	[('chrX', 2700989, '+', 14211031338)]	[('chrX', 2702849, '+', 14211031338)]	88688	chrX	2609220	CD99
chrX	[('chrX', 2702859, '+', 14211031338)]	[('chrX', 2706099, '+', 14211031338)]	88689	chrX	2609317	CD99
chrX	[('chrX', 2702859, '+', 14211031338)]	[('chrX', 2706099, '+', 14211031338)]	88688	chrX	2609220	CD99
chrX	[('chrX', 2702859, '+', 14211031338)]	[('chrX', 2706099, '+', 14211031338)]	88704	chrX	2847392	ARSD
chrX	[('chrX', 2706159, '+', 14211031338)]	[('chrX', 2706759, '+', 14211031338)]	88693	chrX	2644382	CD99
chrX	[('chrX', 2706159, '+', 14211031338)]	[('chrX', 2706759, '+', 14211031338)]	88689	chrX	2609317	CD99
chrX	[('chrX', 2706159, '+', 14211031338)]	[('chrX', 2706759, '+', 14211031338)]	88704	chrX	2847392	ARSD
chrX	[('chrX', 2706959, '+', 14211031338)]	[('chrX', 2711219, '+', 14211031338)]	88693	chrX	2644382	CD99
chrX	[('chrX', 9519380, '+', 14211031338)]	[('chrX', 9520740, '+', 14211031338)]	88768	chrX	8700227	ANOS1
chrX	[('chrX', 10044910, '+', 14211031338)]	[('chrX', 10046230, '+', 14211031338)]	88797	chrX	10029262	RF00019
chrX	[('chrX', 10044910, '+', 14211031338)]	[('chrX', 10046230, '+', 14211031338)]	88809	chrX	10851773	MID1
chrX	[('chrX', 10082290, '+', 14211031338)]	[('chrX', 10084720, '+', 14211031338)]	88797	chrX	10029262	RF00019
chrX	[('chrX', 13692161, '+', 14211031338)]	[('chrX', 13694141, '+', 14211031338)]	88873	chrX	13707305	RAB9A
chrX	[('chrX', 13692161, '+', 14211031338)]	[('chrX', 13694141, '+', 14211031338)]	88872	chrX	13707244	RAB9A
chrX	[('chrX', 13718941, '+', 14211031338)]	[('chrX', 13719731, '+', 14211031338)]	88884	chrX	13752880	OFD1
chrX	[('chrX', 13718941, '+', 14211031338)]	[('chrX', 13719731, '+', 14211031338)]	88886	chrX	13835461	GPM6B
chrX	[('chrX', 15300908, '+', 14211031338)]	[('chrX', 15302718, '+', 14211031338)]	88922	chrX	15511464	PIR
chrX	[('chrX', 15694587, '+', 14211031338)]	[('chrX', 15695707, '+', 14211031338)]	88943	chrX	15872927	AP1S2
chrX	[('chrX', 20317292, '+', 14211031338)]	[('chrX', 20318662, '+', 14211031338)]	89068	chrX	20284958	RPS6KA3
chrX	[('chrX', 21737972, '+', 14211031338)]	[('chrX', 21739902, '+', 14211031338)]	89082	chrX	21776281	SMPX
chrX	[('chrX', 21740232, '+', 14211031338)]	[('chrX', 21743742, '+', 14211031338)]	89082	chrX	21776281	SMPX
chrX	[('chrX', 21740232, '+', 14211031338)]	[('chrX', 21743742, '+', 14211031338)]	89090	chrX	21958691	SMS
chrX	[('chrX', 21748842, '+', 14211031338)]	[('chrX', 21751132, '+', 14211031338)]	89082	chrX	21776281	SMPX
chrX	[('chrX', 37701157, '+', 14211031338)]	[('chrX', 37702617, '+', 14211031338)]	89273	chrX	37706890	DYNLT3
chrX	[('chrX', 37701157, '+', 14211031338)]	[('chrX', 37702617, '+', 14211031338)]	89267	chrX	37545012	XK
chrX	[('chrX', 38929556, '+', 14211031338)]	[('chrX', 38930696, '+', 14211031338)]	89264	chrX	38429936	TSPAN7
chrX	[('chrX', 39518296, '+', 14211031338)]	[('chrX', 39520376, '+', 14211031338)]	89300	chrX	38660685	MID1IP1
chrX	[('chrX', 39731026, '+', 14211031338)]	[('chrX', 39732216, '+', 14211031338)]	89300	chrX	38660685	MID1IP1
chrX	[('chrX', 39735626, '+', 14211031338)]	[('chrX', 39736896, '+', 14211031338)]	89310	chrX	39646077	RN7SL732P
chrX	[('chrX', 40058477, '+', 14211031338)]	[('chrX', 40059667, '+', 14211031338)]	89333	chrX	40594783	MED14
chrX	[('chrX', 40688528, '+', 14211031338)]	[('chrX', 40691148, '+', 14211031338)]	89333	chrX	40594783	MED14
chrX	[('chrX', 41339087, '+', 14211031338)]	[('chrX', 41339857, '+', 14211031338)]	89346	chrX	41205129	RN7SL15P
chrX	[('chrX', 41339087, '+', 14211031338)]	[('chrX', 41339857, '+', 14211031338)]	89337	chrX	40944888	USP9X
